rms,peak,crest,kurtosis,std,mean_abs,dominant_freq,dominant_amp,spectral_energy,spectral_centroid,spectral_bandwidth,label
7438.707512665381,10346.0,1.3908330153302264,-0.42931497504070926,1308.844873665444,7322.65625,4,556234.8378504672,898142401504.0001,0.08819836217416163,0.12548763611446961,unbalance_23g
7447.455786337581,11235.0,1.5085688753749569,-0.31631955828369973,1443.9008892368072,7306.14453125,4,591879.4994546698,1093057944624.0001,0.07734747931067237,0.12022530251514217,unbalance_23g
7303.411875382928,10130.0,1.3870229658201867,0.7527025457694441,1158.608820434426,7210.92578125,4,538405.8444669646,703788808741.9999,0.11295803075482001,0.13413176906844942,unbalance_23g
7461.256423157522,11325.0,1.517840877958646,0.023905536000277117,1659.4111239180552,7274.38671875,2,549516.2552954716,1443702509749.9995,0.08162584285219278,0.12234420017319884,unbalance_23g
7032.0729628109575,11959.0,1.7006365069368654,-0.6908099388754714,2467.800088038104,6584.83203125,1,1364129.0838048405,3192923472133.999,0.08250147961505935,0.12597464451348317,unbalance_27g
8025.669865563598,11533.0,1.4370140054583596,0.23810863193208887,1468.2517583217189,7890.22265625,4,588637.8680435639,1130224327813.9998,0.09583201714086693,0.12896305545429154,unbalance_27g
8252.541128473607,11290.0,1.368063463633801,-0.43341563359989,1240.4979393725519,8158.7744140625,4,518437.63878661604,806784943930.9998,0.08593686019179832,0.12491428285614808,unbalance_27g
7607.914267521232,12381.0,1.6273842691492246,-0.028716892286474227,2248.9266597311725,7267.921875,1,1147182.1695488456,2651674171255.9995,0.08817423257972677,0.12893781970271304,unbalance_27g
7362.616726313665,11025.0,1.497429570195762,-0.3344638601598233,2041.8123861155957,7073.833984375,1,909940.1184169265,2185755514310.0,0.09242831521412224,0.1303759391505277,unbalance_27g
6000.314823853126,10460.0,1.7432418643132244,-1.3527026608438684,2470.470961281953,5468.1396484375,1,1295201.7455756988,3199841752711.0,0.09021786514054196,0.12863050518591704,unbalance_27g
7867.438666857074,11356.0,1.4434176713495188,-0.35177280861017524,1302.6354324450922,7758.8486328125,4,668142.8388556776,889641956907.0001,0.08101886477062864,0.12173371481476931,unbalance_27g
7260.955799888172,10801.0,1.487545207225521,-0.6461201708264444,2119.6373450341603,6944.6826171875,1,779623.7011518361,2355551906927.0,0.08287806147301507,0.12366903887343172,unbalance_27g
8087.3299502142745,10738.0,1.3277558929959938,-0.583367125824338,1230.967087197605,7993.0986328125,4,377227.77124522295,794427686883.0001,0.07952891067306805,0.12134404750193893,unbalance_27g
7277.395122336121,10811.0,1.4855590246595756,-0.5129688624281536,2136.005492729945,6956.8642578125,1,879826.8084735484,2392072052439.0,0.0948302459007344,0.12848045646625586,unbalance_27g
7183.082646309378,10658.0,1.483764078014056,-0.3337134072542973,2113.8172494286728,6865.0166015625,1,814498.4761407084,2342628826015.0,0.1023832565933654,0.13392229261768634,unbalance_27g
8123.970300617334,11736.0,1.444613848367736,-0.13239523346844484,1407.3750932793232,8001.13671875,4,548314.6736996598,1038459673016.0002,0.08195217435654793,0.12306956776685253,unbalance_27g
